ttl;humidity;deviceId;co2;temperature;timestamp;datetime
1793636699.0;39.7;esp32-001;910.0;24.18;1762100699000.0;2025-11-02 16:24:59.000000000
1793636718.0;39.6;esp32-001;939.0;24.18;1762100717000.0;2025-11-02 16:25:17.000000000
1793636737.0;39.7;esp32-001;935.0;24.18;1762100736000.0;2025-11-02 16:25:36.000000000
1793636755.0;39.9;esp32-001;944.0;24.19;1762100755000.0;2025-11-02 16:25:55.000000000
1793636774.0;39.7;esp32-001;955.0;24.19;1762100773000.0;2025-11-02 16:26:13.000000000
1793636793.0;40.1;esp32-001;957.0;24.19;1762100792000.0;2025-11-02 16:26:32.000000000
1793636812.0;40.0;esp32-001;942.0;24.19;1762100811000.0;2025-11-02 16:26:51.000000000
1793636831.0;40.0;esp32-001;972.0;24.19;1762100830000.0;2025-11-02 16:27:10.000000000
1793636850.0;40.0;esp32-001;986.0;24.19;1762100849000.0;2025-11-02 16:27:29.000000000
1793636869.0;40.5;esp32-001;1003.0;24.19;1762100868000.0;2025-11-02 16:27:48.000000000
1793636888.0;40.2;esp32-001;1009.0;24.19;1762100887000.0;2025-11-02 16:28:07.000000000
1793636908.0;40.3;esp32-001;1153.0;24.19;1762100906000.0;2025-11-02 16:28:26.000000000
1793636929.0;40.4;esp32-001;1166.0;24.19;1762100928000.0;2025-11-02 16:28:48.000000000
1793636948.0;40.3;esp32-001;1163.0;24.19;1762100947000.0;2025-11-02 16:29:07.000000000
1793636967.0;40.4;esp32-001;1187.0;24.19;1762100966000.0;2025-11-02 16:29:26.000000000
1793636987.0;40.6;esp32-001;1152.0;24.18;1762100986000.0;2025-11-02 16:29:46.000000000
1793637007.0;40.3;esp32-001;1079.0;24.18;1762101005000.0;2025-11-02 16:30:05.000000000
1793637027.0;40.4;esp32-001;1073.0;24.18;1762101025000.0;2025-11-02 16:30:25.000000000
1793637045.0;40.6;esp32-001;1068.0;24.18;1762101045000.0;2025-11-02 16:30:45.000000000
1793637064.0;40.6;esp32-001;1058.0;24.18;1762101063000.0;2025-11-02 16:31:03.000000000
1793637083.0;40.6;esp32-001;1020.0;24.18;1762101082000.0;2025-11-02 16:31:22.000000000
1793637102.0;40.8;esp32-001;989.0;24.18;1762101101000.0;2025-11-02 16:31:41.000000000
1793637121.0;40.7;esp32-001;1013.0;24.18;1762101120000.0;2025-11-02 16:32:00.000000000
1793637140.0;40.8;esp32-001;1019.0;24.18;1762101139000.0;2025-11-02 16:32:19.000000000
1793637161.0;40.9;esp32-001;1030.0;24.18;1762101159000.0;2025-11-02 16:32:39.000000000
1793637180.0;40.8;esp32-001;996.0;24.18;1762101179000.0;2025-11-02 16:32:59.000000000
1793637199.0;40.9;esp32-001;1015.0;24.19;1762101198000.0;2025-11-02 16:33:18.000000000
1793637218.0;41.0;esp32-001;1038.0;24.2;1762101217000.0;2025-11-02 16:33:37.000000000
1793637238.0;40.8;esp32-001;1037.0;24.2;1762101237000.0;2025-11-02 16:33:57.000000000
1793637258.0;41.2;esp32-001;1039.0;24.2;1762101257000.0;2025-11-02 16:34:17.000000000
1793637277.0;40.7;esp32-001;1068.0;24.2;1762101276000.0;2025-11-02 16:34:36.000000000
1793637297.0;40.7;esp32-001;1069.0;24.21;1762101295000.0;2025-11-02 16:34:55.000000000
1793637321.0;40.8;esp32-001;1060.0;24.21;1762101320000.0;2025-11-02 16:35:20.000000000
1793637340.0;40.9;esp32-001;1034.0;24.22;1762101339000.0;2025-11-02 16:35:39.000000000
1793637359.0;40.8;esp32-001;1076.0;24.22;1762101358000.0;2025-11-02 16:35:58.000000000
